name,fun_fact,engine_data
"Chevrolet Corvette C7,""An American icon with a rich racing history. Longest-produced sports car in the world."",V8 6.2L 461 HP 630Nm"
"Nissan GTR,""Known as ""Godzilla"", it's a supercar killer with a rich motorsport background. Holds the record for fastest lap by a production car at the Nürburgring."",V6 3.8L 565 HP 633Nm"
"Mercedes CLA 45 AMG,""A compact sedan with the heart of a beast. Holds the title for the most powerful production 4-cylinder engine."",Inline-4 2.0L 382 HP 480Nm"
"Mercedes AMG GT,""A grand tourer with a racing pedigree. Inspired by the classic 300SL Gullwing."",V8 4.0L 577 HP 700Nm"
"Toyota Supra Mk4,""Iconic sports car known for its 2JZ engine. Became legendary after 'Fast and Furious'."",Inline-6 3.0L 320 HP 315Nm"
"Mitsubishi Lancer Evolution IX,""A rally legend with a turbocharged engine. Featured prominently in 'Tokyo Drift'."",Inline-4 2.0L 286 HP 289Nm"
"Ferrari F8,""The successor to the 488, with a rich Ferrari racing heritage. Celebrates 90 years of Scuderia Ferrari."",V8 3.9L 710 HP 770Nm"
"Lamborghini Aventador,""A V12 monster, the poster car for many. Known for its iconic scissor doors."",V12 6.5L 759 HP 720Nm"
"BMW M8 Competition Manhart,""A tuned version of BMW's flagship coupe. Manhart takes the M8 to new performance heights."",V8 4.4L 823 HP 1,050Nm"
"Porsche 911 Carrera GTS,""A more powerful version of the iconic 911. Over 50 years of racing heritage."",Flat-6 3.0L 450 HP 550Nm"
"Nissan Skyline GT-R R34,""A JDM legend with a twin-turbo engine. Known for its ATTESA E-TS AWD system."",Inline-6 2.6L 276 HP 289Nm"
"Mazda RX-7 FD,""Known for its rotary engine and sleek design. Became iconic after 'Tokyo Drift'."",Rotary 1.3L 255 HP 217Nm"
"Aston Martin DB11,""A grand tourer with James Bond associations. Represents a new era for Aston Martin."",V12 5.2L 600 HP 700Nm"
"Bugatti Chiron,""The successor to the Veyron, and a marvel of engineering. Limited to 500 units worldwide."",W16 8.0L 1,479 HP 1,600Nm"
"McLaren P1,""A hybrid hypercar with F1 technology. Part of the 'Holy Trinity' of hypercars."",V8 3.8L 903 HP (combined) 900Nm"
"Rolls-Royce Phantom,""The pinnacle of luxury motoring. Often referred to as the 'Best Car in the World'."",V12 6.75L 563 HP 900Nm"
"Bentley Continental GT,""A luxurious grand tourer with racing credentials. Known for its handcrafted interiors."",W12 6.0L 626 HP 900Nm"
"Jaguar F-Type SVR,""A British sports car with a roaring V8. The SVR is the most performance-oriented F-Type."",V8 5.0L 575 HP 700Nm"
"Audi R8 V10 Plus,""Audi's flagship supercar with Le Mans heritage. Shares its engine with the Lamborghini Huracán."",V10 5.2L 602 HP 560Nm"
"Maserati GranTurismo,""A stylish Italian grand tourer. Celebrates Maserati's racing history."",V8 4.7L 454 HP 520Nm"
"Honda S2000,""A roadster with a high-revving engine. Featured in both '2 Fast 2 Furious' and 'Tokyo Drift'."",Inline-4 2.0L 240 HP 208Nm"
"Nissan 350Z,""A sports car known for its V6 engine. Driven by DK in 'Tokyo Drift'."",V6 3.5L 287 HP 274Nm"
"Lexus LFA,""A V10 Japanese supercar, a rare gem from Lexus. Only 500 were ever made."",V10 4.8L 552 HP 480Nm"
"Pagani Huayra,""A hypercar known for its attention to detail. Named after the Incan god of wind."",V12 6.0L 720 HP 1,000Nm"
"Ford GT,""A tribute to Ford's 1960s Le Mans victories. Limited production to honor its racing legacy."",V6 3.5L 647 HP 745Nm"
"Dodge Viper ACR,""An American brute with a racing pedigree. Known for its raw and unfiltered driving experience."",V10 8.4L 645 HP 813Nm"
"Koenigsegg Jesko,""A Swedish hypercar with groundbreaking technology. Named after the founder's father."",V8 5.0L 1,280 HP 1,500Nm"
"Lamborghini Huracán Performante,""Track-focused version of the Huracán. Holds Nürburgring lap record for production cars."",V10 5.2L 631 HP 600Nm"
"Ferrari 812 Superfast,""A V12 grand tourer with a rich Ferrari lineage. The fastest Ferrari production car."",V12 6.5L 789 HP 718Nm"
"Subaru Impreza WRX STI,""A rally car legend with a boxer engine. Known for its Symmetrical AWD system."",Flat-4 2.5L 300 HP 300Nm"
"Mitsubishi Eclipse,""A sport compact car. Featured in the first 'Fast and Furious' movie."",Inline-4 2.0L 210 HP 214Nm"
"Toyota AE86 Sprinter Trueno,""A lightweight coupe known for drifting. Became legendary in 'Initial D'."",Inline-4 1.6L 112 HP 130Nm"
"Porsche 918 Spyder,""A hybrid hypercar with racing DNA. Part of the 'Holy Trinity' of hypercars."",V8 4.6L 887 HP (combined) 1,280Nm"
